type,cols,rows,fill,markerPx,cellpx,k1,poses,cornerRecoveryPct,medRMSpx,markerDetPct
coded-black,7,5,1.00,16.0,16,-0.20,6,47,0.300,50
coded-black,7,5,1.00,13.0,13,-0.20,6,15,0.155,17
coded-black,7,5,1.00,10.0,10,-0.20,6,0,-1.000,0
plain-checker,9,7,0.00,0.0,40,0.00,6,100,0.030,100
plain-checker,9,7,0.00,0.0,30,0.00,6,100,0.088,100
plain-checker,9,7,0.00,0.0,24,0.00,6,100,0.011,100
plain-checker,9,7,0.00,0.0,20,0.00,6,100,0.219,100
plain-checker,9,7,0.00,0.0,16,0.00,6,100,0.261,100
plain-checker,9,7,0.00,0.0,13,0.00,6,100,0.325,100
plain-checker,9,7,0.00,0.0,10,0.00,6,0,-1.000,0
plain-checker,9,7,0.00,0.0,40,-0.20,6,100,0.028,100
plain-checker,9,7,0.00,0.0,30,-0.20,6,100,0.097,100
plain-checker,9,7,0.00,0.0,24,-0.20,6,100,-1.000,100
plain-checker,9,7,0.00,0.0,20,-0.20,6,100,0.213,100
plain-checker,9,7,0.00,0.0,16,-0.20,6,100,0.128,100
plain-checker,9,7,0.00,0.0,13,-0.20,6,83,0.058,83
plain-checker,9,7,0.00,0.0,10,-0.20,6,0,-1.000,0
plain-checker,13,9,0.00,0.0,40,0.00,6,100,0.030,100
plain-checker,13,9,0.00,0.0,30,0.00,6,100,0.106,100
plain-checker,13,9,0.00,0.0,24,0.00,6,100,0.150,100
plain-checker,13,9,0.00,0.0,20,0.00,6,100,0.201,100
plain-checker,13,9,0.00,0.0,16,0.00,6,100,0.257,100
plain-checker,13,9,0.00,0.0,13,0.00,6,83,-1.000,83
plain-checker,13,9,0.00,0.0,10,0.00,6,0,-1.000,0
plain-checker,13,9,0.00,0.0,40,-0.20,6,100,0.030,100
plain-checker,13,9,0.00,0.0,30,-0.20,6,100,0.104,100
plain-checker,13,9,0.00,0.0,24,-0.20,6,100,0.122,100
plain-checker,13,9,0.00,0.0,20,-0.20,6,100,0.197,100
plain-checker,13,9,0.00,0.0,16,-0.20,6,100,0.252,100
plain-checker,13,9,0.00,0.0,13,-0.20,6,83,0.284,83
plain-checker,13,9,0.00,0.0,10,-0.20,6,0,-1.000,0
